profile,position_in_api_page,content_id,shortcode,content_type,product_type,taken_at_utc,caption,like_count,comment_count,video_view_count,play_count,width,height,url
renansantosreserva,1,3962768498229103084,Db-lPQYDcns,video,clips,2026-08-13T11:01:00+00:00,"Renan Santos afirmou que não acha que deve haver liberdade de expressão para traficantes divulgarem facções, como no caso do Oruam.  #RenanSantos #Política #PartidoMissão #Eleições2026 #Oruam",94,1,791,,480,854,https://www.instagram.com/p/Db-lPQYDcns/
renansantosreserva,2,3962405932273239671,Db9SzOhDAZ3,video,clips,2026-08-12T23:00:37+00:00,Lá ele 1.000 vezes!  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita,498,13,3582,,480,854,https://www.instagram.com/p/Db9SzOhDAZ3/
renansantosreserva,3,3962391039147201552,Db9PagNj1QQ,video,clips,2026-08-12T22:31:08+00:00,Renan Santos afirma que o Brasil precisa ter sua própria Bomba Atômica e jornalistas ficam chocado!  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita,2257,119,11068,,1080,1080,https://www.instagram.com/p/Db9PagNj1QQ/
renansantosreserva,4,3962375846228658271,Db9L9atDAhf,video,clips,2026-08-12T22:00:53+00:00,Renan Santos bate 10% antes do início da campanha e isso acende um alerta! 🚨  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita,1256,53,5831,,1080,1350,https://www.instagram.com/p/Db9L9atDAhf/
renansantosreserva,5,3962361089333446776,Db9ImrRjMh4,video,clips,2026-08-12T21:31:35+00:00,"Por essa ninguém esperava! Renan Santos defendeu Mano Brown e falou a verdade sobre Oruam, que muita gente não tem coragem de admitir.  #RenanSantos #Política #PartidoMissão #Oruam #ManoBrown",4228,44,28707,,1080,1350,https://www.instagram.com/p/Db9ImrRjMh4/
renansantosreserva,6,3962345712620439224,Db9FG6mCIa4,video,clips,2026-08-12T21:01:09+00:00,"A conta do supermercado do brasileiro não para de subir, não adianta alguns jornalistas fazerem uma volta para explicar o óbvio, a farra do desgoverno Lula tem um preço alto e a população é quem paga essa conta!  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita",439,18,3305,,1080,1080,https://www.instagram.com/p/Db9FG6mCIa4/
renansantosreserva,7,3962315566261856647,Db8-QOnCemH,video,clips,2026-08-12T20:01:23+00:00,"Ao ser questionado se acataria todas as decisões do STF em um eventual governo seu, Renan Santos disse: decisão ilegal não se cumpre!  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita",2621,28,13793,,1080,1080,https://www.instagram.com/p/Db8-QOnCemH/
renansantosreserva,8,3962285283714468185,Db83XjyjwlZ,video,clips,2026-08-12T19:00:57+00:00,"Renan Santos lança meta ousada para o seu governo e diz que se não cumprir, o próprio partido não permitirá sua reeleição.  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita",768,33,3513,,1080,1350,https://www.instagram.com/p/Db83XjyjwlZ/
renansantosreserva,9,3962274457216771856,Db806A1AmcQ,video,clips,2026-08-12T18:39:45+00:00,Completem a frase: decisão ilegal...  #RenanSantos #Política #PartidoMissão #Eleições2026 #Direita,436,15,2047,,1080,1920,https://www.instagram.com/p/Db806A1AmcQ/
renansantosreserva,10,3962255031030544533,Db8wfUyFHiV,video,clips,2026-08-12T18:00:53+00:00,"Ué, será que esse jornalista mudou de ideia sobre o Renan Santos? 🤔  #Eleições2026 #Política #PartidoMissão #RenanSantos #eleições",29878,969,180609,,1080,1350,https://www.instagram.com/p/Db8wfUyFHiV/
renansantosreserva,11,3962239962942752643,Db8tEDiD0eD,video,clips,2026-08-12T17:30:57+00:00,"Piada! O sistema está tentando esconder o que as redes sociais não escondem, Renan Santos está GIGANTE e crescendo cada vez mais.  #Eleições2026 #Política #PartidoMissão #RenanSantos #eleições",3898,95,22595,,1080,1350,https://www.instagram.com/p/Db8tEDiD0eD/
renansantosreserva,12,3962224851763523733,Db8poKJlvCV,video,clips,2026-08-12T17:01:10+00:00,Renan Santos defende a redução dos poderes do STF. Concorda com essa ideia?  #Eleições2026 #Política #PartidoMissão #RenanSantos #eleições,347,18,1962,,1080,1350,https://www.instagram.com/p/Db8poKJlvCV/
renansantosmbl,1,3951561907970093710,DbWxJ54hbKO,video,clips,2026-07-28T20:07:29+00:00,O PT destruiu minha vida 3 vezes.  Siga @renansantosmbl,126394,8642,630418,,640,1136,https://www.instagram.com/p/DbWxJ54hbKO/
renansantosmbl,2,3941357241667877440,Dayg4dyhvpA,video,clips,2026-07-14T22:00:07+00:00,Recado de @aroldomedina14,118999,6257,146145,,640,1136,https://www.instagram.com/p/Dayg4dyhvpA/
renansantosmbl,3,3925843162969822058,DZ7ZY6EtlNq,video,clips,2026-06-23T12:19:15+00:00,O que é o mundo por trás da propaganda do PT  Siga @renansantosmbl,456503,12409,2687788,,640,1136,https://www.instagram.com/p/DZ7ZY6EtlNq/
renansantosmbl,4,3962774401186016868,Db-mlJ7tC5k,video,clips,2026-08-13T11:13:27+00:00,Por que eu defendo mais escolas cívico-militares.,2116,50,15024,,1080,1920,https://www.instagram.com/p/Db-mlJ7tC5k/
renansantosmbl,5,3962400974977659979,Db9RrFrNHRL,video,clips,2026-08-12T22:52:35+00:00,Teve que ser carregado pela polícia,35837,813,209292,,1080,1920,https://www.instagram.com/p/Db9RrFrNHRL/
renansantosmbl,6,3962352184946254882,Db9GlGatuQi,video,clips,2026-08-12T21:14:46+00:00,"Neste domingo, às 13h, no Largo São Francisco.",22826,804,75575,,750,937,https://www.instagram.com/p/Db9GlGatuQi/
renansantosmbl,7,3962307148514748526,Db88Vu-Nmhu,video,clips,2026-08-12T19:48:06+00:00,Essa violência contra mulheres a esquerda não liga.,29003,950,159812,,1080,1920,https://www.instagram.com/p/Db88Vu-Nmhu/
renansantosmbl,8,3962180076714717360,Db8fcmItfCw,video,clips,2026-08-12T15:34:20+00:00,Veja como isso é bom!   Siga @renansantosmbl,67680,3007,326665,,750,1333,https://www.instagram.com/p/Db8fcmItfCw/
renansantosmbl,9,3962059162253686039,Db8D9DxNnUX,video,clips,2026-08-12T11:32:29+00:00,Bora investigar tudo!,23794,469,126760,,1080,1920,https://www.instagram.com/p/Db8D9DxNnUX/
