id,title,views,editorial_type
AzzJosPAXtA,Lula has been saying the same thing for 30 years!,563000,confronto_denuncia
jwD9BE8swk8,It's official we're out of the debates.,586000,consequencia_posicionamento
dhxWlF2ueqc,I was canceled by Andreia Sadi.,387000,confronto_reacao
6JD9RNDh8f4,First leaked images of the politicians sex party.,333000,choque_denuncia
WNbevf3UM0E,Collective to End Bolsa Familia V01,308000,mobilizacao_proposta
IOYcVgicG94,Check out Wagner Mouras latest,282000,reacao_cultural
09wYFZ-9Mqc,Primeira Aparicao minha em debate!,221000,confronto_debate
UEdMYxw0748,Slum dwellers are not considered citizens,222000,denuncia_social
kF6_TlV5iv4,Response to Lula,192000,confronto_reacao
8eBQDiwJKlE,Kim Kataguiri has been canceled,186000,confronto_reacao
Skru1hCcIkI,Am I not going to do anything like Bukele?,165000,posicionamento_proposta
CAW3RKzd09M,Response to Dirceu,156000,confronto_reacao
ldc6vLEr2Sg,DID GLOBONEWS CENSOR ME?,161000,confronto_denuncia
FfJMuX-VYZA,Response to GloboNews Am I undemocratic?,87000,confronto_reacao
FICJiJcaca0,Eu proponho que todos os bandidos se entreguem.,116000,proposta_seguranca
4MBxqsH0xQw,URGENT We hit 10 percent!!,99000,mobilizacao_campanha
LFJUp35HpJw,My stance on the Supreme Court,123000,posicionamento_juridico
rr1dhtrf5O4,They are afraid to show up for the debate.,168000,confronto_debate
5RewWBkZjyU,A Government for Everyone,167000,proposta_programa
d08USIIjIfE,I will not be giving out cell phones or gas vouchers to anyone!,98000,posicionamento_programa
